	feature
740	ENSMUSG00000008301
741	ENSMUSG00000008305
742	ENSMUSG00000008318
743	ENSMUSG00000008333
744	ENSMUSG00000008348
745	ENSMUSG00000008373
746	ENSMUSG00000008384
747	ENSMUSG00000008393
748	ENSMUSG00000008429
749	ENSMUSG00000008435
750	ENSMUSG00000008450
751	ENSMUSG00000008475
752	ENSMUSG00000008489
753	ENSMUSG00000008496
754	ENSMUSG00000008540
755	ENSMUSG00000008575
756	ENSMUSG00000008601
757	ENSMUSG00000008604
758	ENSMUSG00000008668
759	ENSMUSG00000008682
760	ENSMUSG00000008683
761	ENSMUSG00000008690
762	ENSMUSG00000008730
763	ENSMUSG00000008734
764	ENSMUSG00000008763
765	ENSMUSG00000008822
766	ENSMUSG00000008855
767	ENSMUSG00000008859
768	ENSMUSG00000008892
769	ENSMUSG00000008958
770	ENSMUSG00000008976
771	ENSMUSG00000008999
772	ENSMUSG00000009013
773	ENSMUSG00000009030
774	ENSMUSG00000009035
775	ENSMUSG00000009073
776	ENSMUSG00000009076
777	ENSMUSG00000009079
778	ENSMUSG00000009090
779	ENSMUSG00000009092
780	ENSMUSG00000009112
781	ENSMUSG00000009145
782	ENSMUSG00000009207
783	ENSMUSG00000009216
784	ENSMUSG00000009291
785	ENSMUSG00000009293
786	ENSMUSG00000009406
787	ENSMUSG00000009418
788	ENSMUSG00000009470
789	ENSMUSG00000009535
790	ENSMUSG00000009549
791	ENSMUSG00000009555
792	ENSMUSG00000009563
793	ENSMUSG00000009566
794	ENSMUSG00000009569
795	ENSMUSG00000009575
796	ENSMUSG00000009585
797	ENSMUSG00000009621
798	ENSMUSG00000009628
799	ENSMUSG00000009630
800	ENSMUSG00000009640
801	ENSMUSG00000009647
802	ENSMUSG00000009681
803	ENSMUSG00000009733
804	ENSMUSG00000009741
805	ENSMUSG00000009772
806	ENSMUSG00000009828
807	ENSMUSG00000009863
808	ENSMUSG00000009894
809	ENSMUSG00000009905
810	ENSMUSG00000009907
811	ENSMUSG00000009927
812	ENSMUSG00000009995
813	ENSMUSG00000010025
814	ENSMUSG00000010045
815	ENSMUSG00000010047
816	ENSMUSG00000010048
817	ENSMUSG00000010054
818	ENSMUSG00000010057
819	ENSMUSG00000010067
820	ENSMUSG00000010095
821	ENSMUSG00000010097
822	ENSMUSG00000010110
823	ENSMUSG00000010175
824	ENSMUSG00000010362
825	ENSMUSG00000010376
826	ENSMUSG00000010392
827	ENSMUSG00000010406
828	ENSMUSG00000010453
829	ENSMUSG00000010517
830	ENSMUSG00000010538
831	ENSMUSG00000010554
832	ENSMUSG00000010607
833	ENSMUSG00000010608
834	ENSMUSG00000010609
835	ENSMUSG00000010651
836	ENSMUSG00000010660
837	ENSMUSG00000010663
838	ENSMUSG00000010721
839	ENSMUSG00000010751
840	ENSMUSG00000010755
841	ENSMUSG00000010760
